Make,Year,Engine,Port,Note
FREIGHTLINER,1960,All,6 Pin,
FREIGHTLINER,1961,All,6 Pin,
FREIGHTLINER,1962,All,6 Pin,
FREIGHTLINER,1963,All,6 Pin,
FREIGHTLINER,1964,All,6 Pin,
FREIGHTLINER,1965,All,6 Pin,
FREIGHTLINER,1966,All,6 Pin,
FREIGHTLINER,1967,All,6 Pin,
FREIGHTLINER,1968,All,6 Pin,
FREIGHTLINER,1969,All,6 Pin,
FREIGHTLINER,1970,All,6 Pin,
FREIGHTLINER,1971,All,6 Pin,
FREIGHTLINER,1972,All,6 Pin,
FREIGHTLINER,1973,All,6 Pin,
FREIGHTLINER,1974,All,6 Pin,
FREIGHTLINER,1975,All,6 Pin,
FREIGHTLINER,1976,All,6 Pin,
FREIGHTLINER,1977,All,6 Pin,
FREIGHTLINER,1978,All,6 Pin,
FREIGHTLINER,1979,All,6 Pin,
FREIGHTLINER,1980,All,6 Pin,
FREIGHTLINER,1981,All,6 Pin,
FREIGHTLINER,1982,All,6 Pin,
FREIGHTLINER,1983,All,6 Pin,
FREIGHTLINER,1984,All,6 Pin,
FREIGHTLINER,1985,All,6 Pin,
FREIGHTLINER,1986,All,6 Pin,
FREIGHTLINER,1987,All,6 Pin,
FREIGHTLINER,1988,All,6 Pin,
FREIGHTLINER,1989,All,6 Pin,
FREIGHTLINER,1990,All,6 Pin,
FREIGHTLINER,1991,All,6 Pin,
FREIGHTLINER,1992,All,6 Pin,
FREIGHTLINER,1993,All,6 Pin,
FREIGHTLINER,1994,All,6 Pin,
FREIGHTLINER,1995,All,6 Pin,
FREIGHTLINER,1996,All,6 Pin,
FREIGHTLINER,1997,All,6 Pin,
FREIGHTLINER,1998,All,6 Pin,
FREIGHTLINER,1999,All,6 Pin,
FREIGHTLINER,2000,All,6 Pin,
FREIGHTLINER,2001,All,6 Pin,
FREIGHTLINER,2002,All,6 Pin,
FREIGHTLINER,2003,All,9 Pin Type 11,
FREIGHTLINER,2004,All,9 Pin Type 11,
FREIGHTLINER,2005,All,9 Pin Type 11,
FREIGHTLINER,2006,All,9 Pin Type 11,
FREIGHTLINER,2007,All,9 Pin Type 11,
FREIGHTLINER,2008,All,9 Pin Type 11,
FREIGHTLINER,2009,All,9 Pin Type 11,
FREIGHTLINER,2010,All,9 Pin Type 11,
FREIGHTLINER,2011,All,9 Pin Type 11,
FREIGHTLINER,2012,All,9 Pin Type 11,
FREIGHTLINER,2013,All,9 Pin Type 11,
FREIGHTLINER,2014,All,9 Pin Type 11,
FREIGHTLINER,2015,All,9 Pin Type 11,
FREIGHTLINER,2016,All,9 Pin Type 11,
FREIGHTLINER,2017,All,9 Pin Type 11,
FREIGHTLINER,2018,All,9 Pin Type 11,
FREIGHTLINER,2019,All,9 Pin Type 11,
FREIGHTLINER,2020,All,9 Pin Type 11,
FREIGHTLINER,2021,All,9 Pin Type 11,
FREIGHTLINER,2022,All,9 Pin Type 11,
FREIGHTLINER,2023,All,9 Pin Type 11,
KENWORTH,1960,All,6 Pin,
KENWORTH,1961,All,6 Pin,
KENWORTH,1962,All,6 Pin,
KENWORTH,1963,All,6 Pin,
KENWORTH,1964,All,6 Pin,
KENWORTH,1965,All,6 Pin,
KENWORTH,1966,All,6 Pin,
KENWORTH,1967,All,6 Pin,
KENWORTH,1968,All,6 Pin,
KENWORTH,1969,All,6 Pin,
KENWORTH,1970,All,6 Pin,
KENWORTH,1971,All,6 Pin,
KENWORTH,1972,All,6 Pin,
KENWORTH,1973,All,6 Pin,
KENWORTH,1974,All,6 Pin,
KENWORTH,1975,All,6 Pin,
KENWORTH,1976,All,6 Pin,
KENWORTH,1977,All,6 Pin,
KENWORTH,1978,All,6 Pin,
KENWORTH,1979,All,6 Pin,
KENWORTH,1980,All,6 Pin,
KENWORTH,1981,All,6 Pin,
KENWORTH,1982,All,6 Pin,
KENWORTH,1983,All,6 Pin,
KENWORTH,1984,All,6 Pin,
KENWORTH,1985,All,6 Pin,
KENWORTH,1986,All,6 Pin,
KENWORTH,1987,All,6 Pin,
KENWORTH,1988,All,6 Pin,
KENWORTH,1989,All,6 Pin,
KENWORTH,1990,All,6 Pin,
KENWORTH,1991,All,6 Pin,
KENWORTH,1992,All,6 Pin,
KENWORTH,1993,All,6 Pin,
KENWORTH,1994,All,6 Pin,
KENWORTH,1995,All,6 Pin,
KENWORTH,1996,All,6 Pin,
KENWORTH,1997,All,6 Pin,
KENWORTH,1998,All,6 Pin,
KENWORTH,1999,All,6 Pin,
KENWORTH,2000,All,6 Pin,
KENWORTH,2001,All,6 Pin,
KENWORTH,2002,All,6 Pin,
KENWORTH,2003,All,6 Pin,
KENWORTH,2004,All,6 Pin,
KENWORTH,2005,All,6 Pin,2005 COULD BE 6 PIN OR 9 PIN.  Send both
KENWORTH,2006,All,9 Pin Type 11,
KENWORTH,2007,All,9 Pin Type 11,
KENWORTH,2008,All,9 Pin Type 11,
KENWORTH,2009,All,9 Pin Type 11,
KENWORTH,2010,All,9 Pin Type 11,
KENWORTH,2011,All,9 Pin Type 11,
KENWORTH,2012,All,9 Pin Type 11,
KENWORTH,2013,All,9 Pin Type 11,
KENWORTH,2014,All,9 Pin Type 11,
KENWORTH,2015,All,9 Pin Type 11,
KENWORTH,2016,All,9 Pin Type 11,
KENWORTH,2017,All,9 Pin Type 11,
KENWORTH,2018,All,9 Pin Type 11,
KENWORTH,2019,All,9 Pin Type 11,
KENWORTH,2020,All,9 Pin Type 11,
KENWORTH,2021,All,9 Pin Type 11,
KENWORTH,2022,All,9 Pin Type 11,
KENWORTH,2023,All,9 Pin Type 11,
PETERBILT,1970,All,6 Pin,
PETERBILT,1971,All,6 Pin,
PETERBILT,1972,All,6 Pin,
PETERBILT,1973,All,6 Pin,
PETERBILT,1974,All,6 Pin,
PETERBILT,1975,All,6 Pin,
PETERBILT,1976,All,6 Pin,
PETERBILT,1977,All,6 Pin,
PETERBILT,1978,All,6 Pin,
PETERBILT,1979,All,6 Pin,
PETERBILT,1980,All,6 Pin,
PETERBILT,1981,All,6 Pin,
PETERBILT,1982,All,6 Pin,
PETERBILT,1983,All,6 Pin,
PETERBILT,1984,All,6 Pin,
PETERBILT,1985,All,6 Pin,
PETERBILT,1986,All,6 Pin,
PETERBILT,1987,All,6 Pin,
PETERBILT,1988,All,6 Pin,
PETERBILT,1989,All,6 Pin,
PETERBILT,1990,All,6 Pin,
PETERBILT,1991,All,6 Pin,
PETERBILT,1992,All,6 Pin,
PETERBILT,1993,All,6 Pin,
PETERBILT,1994,All,6 Pin,
PETERBILT,1995,All,6 Pin,
PETERBILT,1996,All,6 Pin,
PETERBILT,1997,All,6 Pin,
PETERBILT,1998,All,6 Pin,
PETERBILT,1999,All,6 Pin,
PETERBILT,2000,All,6 Pin,
PETERBILT,2001,All,6 Pin,
PETERBILT,2002,All,6 Pin,
PETERBILT,2003,All,6 Pin,
PETERBILT,2004,All,6 Pin,
PETERBILT,2005,All,6 Pin,2005 COULD BE 6 PIN OR 9 PIN.  Send both
PETERBILT,2006,All,9 Pin Type 11,
PETERBILT,2007,All,9 Pin Type 11,
PETERBILT,2008,All,9 Pin Type 11,
PETERBILT,2009,All,9 Pin Type 11,
PETERBILT,2010,All,9 Pin Type 11,
PETERBILT,2011,All,9 Pin Type 11,
PETERBILT,2012,All,9 Pin Type 11,
PETERBILT,2013,All,9 Pin Type 11,
PETERBILT,2014,All,9 Pin Type 11,
PETERBILT,2015,All,9 Pin Type 11,
PETERBILT,2016,All,9 Pin Type 11,
PETERBILT,2017,All,9 Pin Type 11,
PETERBILT,2018,All,9 Pin Type 11,
PETERBILT,2019,All,9 Pin Type 11,
PETERBILT,2020,All,9 Pin Type 11,
PETERBILT,2021,All,9 Pin Type 11,
PETERBILT,2022,All,9 Pin Type 11,
PETERBILT,2023,All,9 Pin Type 11,
INTERNATIONAL,1970,Cummins,6 Pin,
INTERNATIONAL,1971,Cummins,6 Pin,
INTERNATIONAL,1972,Cummins,6 Pin,
INTERNATIONAL,1973,Cummins,6 Pin,
INTERNATIONAL,1974,Cummins,6 Pin,
INTERNATIONAL,1975,Cummins,6 Pin,
INTERNATIONAL,1976,Cummins,6 Pin,
INTERNATIONAL,1977,Cummins,6 Pin,
INTERNATIONAL,1978,Cummins,6 Pin,
INTERNATIONAL,1979,Cummins,6 Pin,
INTERNATIONAL,1980,Cummins,6 Pin,
INTERNATIONAL,1981,Cummins,6 Pin,
INTERNATIONAL,1982,Cummins,6 Pin,
INTERNATIONAL,1983,Cummins,6 Pin,
INTERNATIONAL,1984,Cummins,6 Pin,
INTERNATIONAL,1985,Cummins,6 Pin,
INTERNATIONAL,1986,Cummins,6 Pin,
INTERNATIONAL,1987,Cummins,6 Pin,
INTERNATIONAL,1988,Cummins,6 Pin,
INTERNATIONAL,1989,Cummins,6 Pin,
INTERNATIONAL,1990,Cummins,6 Pin,
INTERNATIONAL,1991,Cummins,6 Pin,
INTERNATIONAL,1992,Cummins,6 Pin,
INTERNATIONAL,1993,Cummins,6 Pin,
INTERNATIONAL,1994,Cummins,6 Pin,
INTERNATIONAL,1995,Cummins,6 Pin,
INTERNATIONAL,1996,Cummins,6 Pin,
INTERNATIONAL,1997,Cummins,6 Pin,
INTERNATIONAL,1998,Cummins,6 Pin,
INTERNATIONAL,1999,Cummins,6 Pin,
INTERNATIONAL,2000,Cummins,6 Pin,
INTERNATIONAL,2001,Cummins,6 Pin,
INTERNATIONAL,2002,Cummins,6 Pin,
INTERNATIONAL,2003,Cummins,6 Pin,
INTERNATIONAL,2004,Cummins,6 Pin,
INTERNATIONAL,2005,Cummins,6 Pin,
INTERNATIONAL,2006,Cummins,6 Pin,2006 COULD BE 6 PIN OR 9 PIN.  Send both
INTERNATIONAL,2007,Cummins,9 Pin Type 11,
INTERNATIONAL,2008,Cummins,9 Pin Type 11,
INTERNATIONAL,2009,Cummins,9 Pin Type 11,
INTERNATIONAL,2010,Cummins,9 Pin Type 11,
INTERNATIONAL,2011,Cummins,9 Pin Type 11,
INTERNATIONAL,2012,Cummins,9 Pin Type 11,
INTERNATIONAL,2013,Cummins,9 Pin Type 11,
INTERNATIONAL,2014,Cummins,9 Pin Type 11,
INTERNATIONAL,2015,Cummins,9 Pin Type 11,
INTERNATIONAL,1970,CAT,6 Pin,2005 COULD BE 6 PIN OR 9 PIN.  Send both
INTERNATIONAL,1971,CAT,6 Pin,
INTERNATIONAL,1972,CAT,6 Pin,
INTERNATIONAL,1973,CAT,6 Pin,
INTERNATIONAL,1974,CAT,6 Pin,
INTERNATIONAL,1975,CAT,6 Pin,
INTERNATIONAL,1976,CAT,6 Pin,
INTERNATIONAL,1977,CAT,6 Pin,
INTERNATIONAL,1978,CAT,6 Pin,
INTERNATIONAL,1979,CAT,6 Pin,
INTERNATIONAL,1980,CAT,6 Pin,
INTERNATIONAL,1981,CAT,6 Pin,
INTERNATIONAL,1982,CAT,6 Pin,
INTERNATIONAL,1983,CAT,6 Pin,
INTERNATIONAL,1984,CAT,6 Pin,
INTERNATIONAL,1985,CAT,6 Pin,
INTERNATIONAL,1986,CAT,6 Pin,
INTERNATIONAL,1987,CAT,6 Pin,
INTERNATIONAL,1988,CAT,6 Pin,
INTERNATIONAL,1989,CAT,6 Pin,
INTERNATIONAL,1990,CAT,6 Pin,
